vowel,F1,F2
i,457.2260084966977,2713.534707351954
i,461.07826392433503,2201.3705078708354
i,nan,nan
ɪ,551.136747999853,1978.1232444703971
ɪ,nan,nan
ɪ,557.3502301456922,1715.4254481930818
e,881.7483340069639,1565.5195223697524
e,757.7971026499129,1229.7010011172997
e,1119.8941555136125,1734.1186526956958
ɛ,610.7067397515792,1340.8060522431786
ɛ,744.1052081691083,1366.0542515104053
ɛ,481.54480465217756,1263.7887528078932
æ,558.170398937642,1252.0834984492753
æ,379.30390006479433,1351.466667829513
æ,nan,nan
ɑ,nan,nan
ɑ,nan,nan
ɑ,nan,nan
o,nan,nan
o,nan,nan
o,nan,nan
ʌ,nan,nan
ʌ,nan,nan
ʌ,nan,nan
ʊ,nan,nan
ʊ,nan,nan
ʊ,nan,nan
u,nan,nan
u,nan,nan
u,nan,nan
